flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code
211.65.232.59_78.128.113.46_6102_48796_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,48796,0.0,0,0
172.232.232.179_211.65.244.23_42956_10250_tcp,train,TCP-Probe_Flood-Candidate,tcp,2,156,1.005422,78.0,0.0,1.9892144790943505,155.15872936935932,1.0,0.0,10250,0.0,0,0
123.160.221.163_211.65.229.187_42493_26604_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,26604,0.0,0,0
211.65.211.78_212.73.148.2_2116_33837_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,33837,0.0,0,0
211.65.252.126_79.124.49.194_53287_43986_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,43986,0.0,0,0
123.160.221.176_211.65.240.68_25189_57828_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,57828,0.0,0,0
185.156.73.182_211.65.211.66_49073_8862_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,8862,0.0,0,0
185.2.103.157_211.65.232.16_42058_9570_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,9570,0.0,0,0
211.65.223.163_64.62.156.184_8090_53753_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,53753,0.0,0,0
211.65.194.106_212.73.148.4_9677_49339_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,49339,0.0,0,0
172.237.101.249_211.65.234.130_46357_10393_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,10393,0.0,0,0
120.79.99.135_211.65.230.100_41066_13470_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,13470,0.0,0,0
211.65.248.33_45.148.10.177_6020_43662_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,43662,0.0,0,0
211.65.249.120_64.31.8.14_23_19553_tcp,train,TCP-Service-Port-Abnormal,tcp,58,3712,386.194984,64.0,0.0,0.15018320382949354,9.611725045087587,1.0,0.0,19553,0.0,0,0
208.115.218.22_211.65.251.174_53141_23_tcp,train,TCP-Service-Port-Abnormal,tcp,554,35456,388.597285,64.0,0.0,1.4256404287538962,91.24098744024936,1.0,0.0,23,0.0,0,0
146.19.173.46_211.65.221.55_35901_23_tcp,train,TCP-Service-Port-Abnormal,tcp,22,1408,279.548135,64.0,0.0,0.07869843238267356,5.036699672491108,1.0,0.0,23,0.0,0,0
148.227.121.115_211.65.194.171_29912_23_tcp,train,TCP-Service-Port-Abnormal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,23,0.0,0,0
115.56.179.139_211.65.215.217_31222_23_tcp,train,TCP-Service-Port-Abnormal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,23,0.0,0,0
211.65.204.13_88.150.140.229_23_55833_tcp,train,TCP-Service-Port-Abnormal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,55833,0.0,0,0
188.120.106.219_211.65.216.192_6292_23_tcp,train,TCP-Service-Port-Abnormal,tcp,2,156,1.103705,78.0,0.0,1.8120784086327417,141.34211587335386,1.0,0.0,23,0.0,0,0
153.217.195.243_211.65.211.79_42608_23_tcp,train,TCP-Service-Port-Abnormal,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,23,0.0,0,0
101.53.144.27_211.65.223.101_35621_23_tcp,train,TCP-Service-Port-Abnormal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,23,0.0,0,0
211.65.216.5_52.217.171.177_37013_443_tcp,train,normal,tcp,46340,55185682,156.627046,1190.88653431161,1075.9183677396954,295.86205692725633,352338.13960840454,0.0,1.0,443,0.0,0,0
146.59.36.129_211.65.243.104_80_1170_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,1170,0.0,0,0
185.206.149.168_211.65.224.147_5255_15599_udp,train,normal,udp,1,439,0.001,439.0,0.0,1000.0,439000.0,0.0,0.0,15599,0.0,0,0
185.206.149.168_211.65.245.198_5255_15599_udp,train,normal,udp,1,437,0.001,437.0,0.0,1000.0,437000.0,0.0,0.0,15599,0.0,0,0
211.65.210.85_213.170.135.17_5060_5345_udp,train,normal,udp,1,438,0.001,438.0,0.0,1000.0,438000.0,0.0,0.0,5345,0.0,0,0
185.206.149.168_211.65.245.200_5255_15599_udp,train,normal,udp,1,439,0.001,439.0,0.0,1000.0,439000.0,0.0,0.0,15599,0.0,0,0
211.65.207.53_66.132.186.215_9999_42032_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,42032,0.0,0,0
146.59.36.129_211.65.234.68_80_1187_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,1187,0.0,0,0
146.59.36.129_211.65.244.139_80_1255_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,1255,0.0,0,0
211.65.197.218_39.104.62.104_5005_58146_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,58146,0.0,0,0
146.59.36.129_211.65.220.12_80_1183_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,1183,0.0,0,0
146.59.36.129_211.65.223.175_80_1239_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,1239,0.0,0,0
163.172.215.177_211.65.235.5_5297_5070_udp,train,normal,udp,1,463,0.001,463.0,0.0,1000.0,463000.0,0.0,0.0,5070,0.0,0,0
163.172.215.177_211.65.235.18_5297_5070_udp,train,normal,udp,1,464,0.001,464.0,0.0,1000.0,464000.0,0.0,0.0,5070,0.0,0,0
163.172.215.177_211.65.235.7_5297_5070_udp,train,normal,udp,1,462,0.001,462.0,0.0,1000.0,462000.0,0.0,0.0,5070,0.0,0,0
163.172.215.177_211.65.240.235_5297_5070_udp,train,normal,udp,1,465,0.001,465.0,0.0,1000.0,465000.0,0.0,0.0,5070,0.0,0,0
146.59.36.129_211.65.222.99_80_1046_tcp,train,normal,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,1.0,1046,0.0,0,0
